date,camelsbr_42210000,camelsbr_43200000,GRDC_3651408
1950-04-30,,,
1950-05-01,,,
1950-05-02,,,
1950-05-03,,,
1950-05-04,,,
1950-05-05,,,
1950-05-06,,,
1950-05-07,,,
1950-05-08,,,
1950-05-09,,,
1950-05-10,,,
1950-05-11,,,
1950-05-12,,,
1950-05-13,,,
1950-05-14,,,
1950-05-15,,,
1950-05-16,,,
1950-05-17,,,
1950-05-18,,,
1950-05-19,,,
1950-05-20,,,
1950-05-21,,,
1950-05-22,,,
1950-05-23,,,
1950-05-24,,,
1950-05-25,,,
1950-05-26,,,
1950-05-27,,,
1950-05-28,,,
1950-05-29,,,
1950-05-30,,,
1950-05-31,,,
1950-06-01,,,
1950-06-02,,,
1950-06-03,,,
1950-06-04,,,
1950-06-05,,,
1950-06-06,,,
1950-06-07,,,
1950-06-08,,,
1950-06-09,,,
1950-06-10,,,
1950-06-11,,,
1950-06-12,,,
1950-06-13,,,
1950-06-14,,,
1950-06-15,,,
1950-06-16,,,
1950-06-17,,,
1950-06-18,,,
1950-06-19,,,
1950-06-20,,,
1950-06-21,,,
1950-06-22,,,
1950-06-23,,,
1950-06-24,,,
1950-06-25,,,
1950-06-26,,,
1950-06-27,,,
1950-06-28,,,
1950-06-29,,,
1950-06-30,,,
1950-07-01,,,
1950-07-02,,,
1950-07-03,,,
1950-07-04,,,
1950-07-05,,,
1950-07-06,,,
1950-07-07,,,
1950-07-08,,,
1950-07-09,,,
1950-07-10,,,
1950-07-11,,,
1950-07-12,,,
1950-07-13,,,
1950-07-14,,,
1950-07-15,,,
1950-07-16,,,
1950-07-17,,,
1950-07-18,,,
1950-07-19,,,
1950-07-20,,,
1950-07-21,,,
1950-07-22,,,
1950-07-23,,,
1950-07-24,,,
1950-07-25,,,
1950-07-26,,,
1950-07-27,,,
1950-07-28,,,
1950-07-29,,,
1950-07-30,,,
1950-07-31,,,
1950-08-01,,,
1950-08-02,,,
1950-08-03,,,
1950-08-04,,,
1950-08-05,,,
1950-08-06,,,
1950-08-07,,,
1950-08-08,,,
1950-08-09,,,
1950-08-10,,,
1950-08-11,,,
1950-08-12,,,
1950-08-13,,,
1950-08-14,,,
1950-08-15,,,
1950-08-16,,,
1950-08-17,,,
1950-08-18,,,
1950-08-19,,,
1950-08-20,,,
1950-08-21,,,
1950-08-22,,,
1950-08-23,,,
1950-08-24,,,
1950-08-25,,,
1950-08-26,,,
1950-08-27,,,
1950-08-28,,,
1950-08-29,,,
1950-08-30,,,
1950-08-31,,,
1950-09-01,,,
1950-09-02,,,
1950-09-03,,,
1950-09-04,,,
1950-09-05,,,
1950-09-06,,,
1950-09-07,,,
1950-09-08,,,
1950-09-09,,,
1950-09-10,,,
1950-09-11,,,
1950-09-12,,,
1950-09-13,,,
1950-09-14,,,
1950-09-15,,,
1950-09-16,,,
1950-09-17,,,
1950-09-18,,,
1950-09-19,,,
1950-09-20,,,
1950-09-21,,,
1950-09-22,,,
1950-09-23,,,
1950-09-24,,,
1950-09-25,,,
1950-09-26,,,
1950-09-27,,,
1950-09-28,,,
1950-09-29,,,
1950-09-30,,,
1950-10-01,,,
1950-10-02,,,
1950-10-03,,,
1950-10-04,,,
1950-10-05,,,
1950-10-06,,,
1950-10-07,,,
1950-10-08,,,
1950-10-09,,,
1950-10-10,,,
1950-10-11,,,
1950-10-12,,,
1950-10-13,,,
1950-10-14,,,
1950-10-15,,,
1950-10-16,,,
1950-10-17,,,
1950-10-18,,,
1950-10-19,,,
1950-10-20,,,
1950-10-21,,,
1950-10-22,,,
1950-10-23,,,
1950-10-24,,,
1950-10-25,,,
1950-10-26,,,
1950-10-27,,,
1950-10-28,,,
1950-10-29,,,
1950-10-30,,,
1950-10-31,,,
1950-11-01,,,
1950-11-02,,,
1950-11-03,,,
1950-11-04,,,
1950-11-05,,,
1950-11-06,,,
1950-11-07,,,
1950-11-08,,,
1950-11-09,,,
1950-11-10,,,
1950-11-11,,,
1950-11-12,,,
1950-11-13,,,
1950-11-14,,,
1950-11-15,,,
1950-11-16,,,
1950-11-17,,,
1950-11-18,,,
1950-11-19,,,
1950-11-20,,,
1950-11-21,,,
1950-11-22,,,
1950-11-23,,,
1950-11-24,,,
1950-11-25,,,
1950-11-26,,,
1950-11-27,,,
1950-11-28,,,
1950-11-29,,,
1950-11-30,,,
1950-12-01,,,
1950-12-02,,,
1950-12-03,,,
1950-12-04,,,
1950-12-05,,,
1950-12-06,,,
1950-12-07,,,
1950-12-08,,,
1950-12-09,,,
1950-12-10,,,
1950-12-11,,,
1950-12-12,,,
1950-12-13,,,
1950-12-14,,,
1950-12-15,,,
1950-12-16,,,
1950-12-17,,,
1950-12-18,,,
1950-12-19,,,
1950-12-20,,,
1950-12-21,,,
1950-12-22,,,
1950-12-23,,,
1950-12-24,,,
1950-12-25,,,
1950-12-26,,,
1950-12-27,,,
1950-12-28,,,
1950-12-29,,,
1950-12-30,,,
1950-12-31,,,
1951-01-01,,,
1951-01-02,,,
1951-01-03,,,
1951-01-04,,,
1951-01-05,,,
1951-01-06,,,
1951-01-07,,,
1951-01-08,,,
1951-01-09,,,
1951-01-10,,,
1951-01-11,,,
1951-01-12,,,
1951-01-13,,,
1951-01-14,,,
1951-01-15,,,
1951-01-16,,,
1951-01-17,,,
1951-01-18,,,
1951-01-19,,,
1951-01-20,,,
1951-01-21,,,
1951-01-22,,,
1951-01-23,,,
1951-01-24,,,
1951-01-25,,,
1951-01-26,,,
1951-01-27,,,
1951-01-28,,,
1951-01-29,,,
1951-01-30,,,
1951-01-31,,,
1951-02-01,,,
1951-02-02,,,
1951-02-03,,,
1951-02-04,,,
1951-02-05,,,
1951-02-06,,,
1951-02-07,,,
1951-02-08,,,
1951-02-09,,,
1951-02-10,,,
1951-02-11,,,
1951-02-12,,,
1951-02-13,,,
1951-02-14,,,
1951-02-15,,,
1951-02-16,,,
1951-02-17,,,
1951-02-18,,,
1951-02-19,,,
1951-02-20,,,
1951-02-21,,,
1951-02-22,,,
1951-02-23,,,
1951-02-24,,,
1951-02-25,,,
1951-02-26,,,
1951-02-27,,,
1951-02-28,,,
1951-03-01,,,
1951-03-02,,,
1951-03-03,,,
1951-03-04,,,
1951-03-05,,,
1951-03-06,,,
1951-03-07,,,
1951-03-08,,,
1951-03-09,,,
1951-03-10,,,
1951-03-11,,,
1951-03-12,,,
1951-03-13,,,
1951-03-14,,,
1951-03-15,,,
1951-03-16,,,
1951-03-17,,,
1951-03-18,,,
1951-03-19,,,
1951-03-20,,,
1951-03-21,,,
1951-03-22,,,
1951-03-23,,,
1951-03-24,,,
1951-03-25,,,
1951-03-26,,,
1951-03-27,,,
1951-03-28,,,
1951-03-29,,,
1951-03-30,,,
1951-03-31,,,
1951-04-01,,,
1951-04-02,,,
1951-04-03,,,
1951-04-04,,,
1951-04-05,,,
1951-04-06,,,
1951-04-07,,,
1951-04-08,,,
1951-04-09,,,
1951-04-10,,,
1951-04-11,,,
1951-04-12,,,
1951-04-13,,,
1951-04-14,,,
1951-04-15,,,
1951-04-16,,,
1951-04-17,,,
1951-04-18,,,
1951-04-19,,,
1951-04-20,,,
1951-04-21,,,
1951-04-22,,,
1951-04-23,,,
1951-04-24,,,
1951-04-25,,,
1951-04-26,,,
1951-04-27,,,
1951-04-28,,,
1951-04-29,,,
1951-04-30,,,
1951-05-01,,,
1951-05-02,,,
1951-05-03,,,
1951-05-04,,,
1951-05-05,,,
1951-05-06,,,
1951-05-07,,,
1951-05-08,,,
1951-05-09,,,
1951-05-10,,,
1951-05-11,,,
1951-05-12,,,
1951-05-13,,,
1951-05-14,,,
1951-05-15,,,
1951-05-16,,,
1951-05-17,,,
1951-05-18,,,
1951-05-19,,,
1951-05-20,,,
1951-05-21,,,
1951-05-22,,,
1951-05-23,,,
1951-05-24,,,
1951-05-25,,,
1951-05-26,,,
1951-05-27,,,
1951-05-28,,,
1951-05-29,,,
1951-05-30,,,
1951-05-31,,,
1951-06-01,,,
1951-06-02,,,
1951-06-03,,,
1951-06-04,,,
1951-06-05,,,
1951-06-06,,,
1951-06-07,,,
1951-06-08,,,
1951-06-09,,,
1951-06-10,,,
1951-06-11,,,
1951-06-12,,,
1951-06-13,,,
1951-06-14,,,
1951-06-15,,,
1951-06-16,,,
1951-06-17,,,
1951-06-18,,,
1951-06-19,,,
1951-06-20,,,
1951-06-21,,,
1951-06-22,,,
1951-06-23,,,
1951-06-24,,,
1951-06-25,,,
1951-06-26,,,
1951-06-27,,,
1951-06-28,,,
1951-06-29,,,
1951-06-30,,,
1951-07-01,,,
1951-07-02,,,
1951-07-03,,,
1951-07-04,,,
1951-07-05,,,
1951-07-06,,,
1951-07-07,,,
1951-07-08,,,
1951-07-09,,,
1951-07-10,,,
1951-07-11,,,
1951-07-12,,,
1951-07-13,,,
1951-07-14,,,
1951-07-15,,,
1951-07-16,,,
1951-07-17,,,
1951-07-18,,,
1951-07-19,,,
1951-07-20,,,
1951-07-21,,,
1951-07-22,,,
1951-07-23,,,
1951-07-24,,,
1951-07-25,,,
1951-07-26,,,
1951-07-27,,,
1951-07-28,,,
1951-07-29,,,
1951-07-30,,,
1951-07-31,,,
1951-08-01,,,
1951-08-02,,,
1951-08-03,,,
1951-08-04,,,
1951-08-05,,,
1951-08-06,,,
1951-08-07,,,
1951-08-08,,,
1951-08-09,,,
1951-08-10,,,
1951-08-11,,,
1951-08-12,,,
1951-08-13,,,
1951-08-14,,,
1951-08-15,,,
1951-08-16,,,
1951-08-17,,,
1951-08-18,,,
1951-08-19,,,
1951-08-20,,,
1951-08-21,,,
1951-08-22,,,
1951-08-23,,,
1951-08-24,,,
1951-08-25,,,
1951-08-26,,,
1951-08-27,,,
1951-08-28,,,
1951-08-29,,,
1951-08-30,,,
1951-08-31,,,
1951-09-01,,,
1951-09-02,,,
1951-09-03,,,
1951-09-04,,,
1951-09-05,,,
1951-09-06,,,
1951-09-07,,,
1951-09-08,,,
1951-09-09,,,
1951-09-10,,,
1951-09-11,,,
1951-09-12,,,
1951-09-13,,,
1951-09-14,,,
1951-09-15,,,
1951-09-16,,,
1951-09-17,,,
1951-09-18,,,
1951-09-19,,,
1951-09-20,,,
1951-09-21,,,
1951-09-22,,,
1951-09-23,,,
1951-09-24,,,
1951-09-25,,,
1951-09-26,,,
1951-09-27,,,
1951-09-28,,,
1951-09-29,,,
1951-09-30,,,
1951-10-01,,,
1951-10-02,,,
1951-10-03,,,
1951-10-04,,,
1951-10-05,,,
1951-10-06,,,
1951-10-07,,,
1951-10-08,,,
1951-10-09,,,
1951-10-10,,,
1951-10-11,,,
1951-10-12,,,
1951-10-13,,,
1951-10-14,,,
1951-10-15,,,
1951-10-16,,,
1951-10-17,,,
1951-10-18,,,
1951-10-19,,,
1951-10-20,,,
1951-10-21,,,
1951-10-22,,,
1951-10-23,,,
1951-10-24,,,
1951-10-25,,,
1951-10-26,,,
1951-10-27,,,
1951-10-28,,,
1951-10-29,,,
1951-10-30,,,
1951-10-31,,,
1951-11-01,,,
1951-11-02,,,
1951-11-03,,,
1951-11-04,,,
1951-11-05,,,
1951-11-06,,,
1951-11-07,,,
1951-11-08,,,
1951-11-09,,,
1951-11-10,,,
1951-11-11,,,
1951-11-12,,,
1951-11-13,,,
1951-11-14,,,
1951-11-15,,,
1951-11-16,,,
1951-11-17,,,
1951-11-18,,,
1951-11-19,,,
1951-11-20,,,
1951-11-21,,,
1951-11-22,,,
1951-11-23,,,
1951-11-24,,,
1951-11-25,,,
1951-11-26,,,
1951-11-27,,,
1951-11-28,,,
1951-11-29,,,
1951-11-30,,,
1951-12-01,,,
1951-12-02,,,
1951-12-03,,,
1951-12-04,,,
1951-12-05,,,
1951-12-06,,,
1951-12-07,,,
1951-12-08,,,
1951-12-09,,,
1951-12-10,,,
1951-12-11,,,
1951-12-12,,,
1951-12-13,,,
1951-12-14,,,
1951-12-15,,,
1951-12-16,,,
1951-12-17,,,
1951-12-18,,,
1951-12-19,,,
1951-12-20,,,
1951-12-21,,,
1951-12-22,,,
1951-12-23,,,
1951-12-24,,,
1951-12-25,,,
1951-12-26,,,
1951-12-27,,,
1951-12-28,,,
1951-12-29,,,
1951-12-30,,,
1951-12-31,,,
1952-01-01,,,1.19
1952-01-02,,,1.3125
1952-01-03,,,1.39125
1952-01-04,,,1.785
1952-01-05,,,1.945
1952-01-06,,,1.5575
1952-01-07,,,1.29875
1952-01-08,,,0.94625
1952-01-09,,,0.76875
1952-01-10,,,0.74125
1952-01-11,,,0.76625
1952-01-12,,,1.21625
1952-01-13,,,1.16625
1952-01-14,,,1.28125
1952-01-15,,,1.79
1952-01-16,,,2.0
1952-01-17,,,2.02875
1952-01-18,,,1.74125
1952-01-19,,,1.60375
1952-01-20,,,1.23125
1952-01-21,,,0.865
1952-01-22,,,0.84625
1952-01-23,,,1.38375
1952-01-24,,,1.67
1952-01-25,,,1.7525
1952-01-26,,,1.9175
1952-01-27,,,3.13
1952-01-28,,,4.1575
1952-01-29,,,4.25375
1952-01-30,,,2.99
1952-01-31,,,1.4975
1952-02-01,,,1.135
1952-02-02,,,1.15375
1952-02-03,,,1.08125
1952-02-04,,,1.20125
1952-02-05,,,1.3075
1952-02-06,,,1.355
1952-02-07,,,1.4475
1952-02-08,,,2.06375
1952-02-09,,,2.815
1952-02-10,,,4.625
1952-02-11,,,4.8
1952-02-12,,,3.845
1952-02-13,,,2.70375
1952-02-14,,,2.46375
1952-02-15,,,1.77625
1952-02-16,,,1.505
1952-02-17,,,1.34875
1952-02-18,,,1.25125
1952-02-19,,,2.0975
1952-02-20,,,3.3575
1952-02-21,,,3.3275
1952-02-22,,,2.6175
1952-02-23,,,2.03
1952-02-24,,,1.54
1952-02-25,,,1.40125
1952-02-26,,,1.24125
1952-02-27,,,1.01
1952-02-28,,,0.91875
1952-02-29,,,1.5225
1952-03-01,,,1.95125
1952-03-02,,,2.62125
1952-03-03,,,2.85875
1952-03-04,,,3.27375
1952-03-05,,,4.5025
1952-03-06,,,
1952-03-07,,,
1952-03-08,,,
1952-03-09,,,
1952-03-10,,,2.5
1952-03-11,,,2.31625
1952-03-12,,,2.28125
1952-03-13,,,2.70875
1952-03-14,,,2.83125
1952-03-15,,,2.72625
1952-03-16,,,2.68375
1952-03-17,,,2.645
1952-03-18,,,2.5875
1952-03-19,,,2.53625
1952-03-20,,,2.29375
1952-03-21,,,1.76125
1952-03-22,,,1.45375
1952-03-23,,,1.175
1952-03-24,,,1.13125
1952-03-25,,,1.20875
1952-03-26,,,1.465
1952-03-27,,,2.7075
1952-03-28,,,3.83375
1952-03-29,,,3.73375
1952-03-30,,,2.7725
1952-03-31,,,1.96625
1952-04-01,,,1.68625
1952-04-02,,,1.49375
1952-04-03,,,1.225
1952-04-04,,,1.09375
1952-04-05,,,1.045
1952-04-06,,,0.99625
1952-04-07,,,0.91125
1952-04-08,,,0.865
1952-04-09,,,0.86
1952-04-10,,,0.8425
1952-04-11,,,0.8225
1952-04-12,,,0.8025
1952-04-13,,,0.765
1952-04-14,,,0.78625
1952-04-15,,,0.895
1952-04-16,,,1.58375
1952-04-17,,,1.58375
1952-04-18,,,1.3425
1952-04-19,,,1.17875
1952-04-20,,,1.1075
1952-04-21,,,0.9775
1952-04-22,,,0.8375
1952-04-23,,,0.82
1952-04-24,,,0.8025
1952-04-25,,,0.835
1952-04-26,,,0.95375
1952-04-27,,,1.1275
1952-04-28,,,1.115
1952-04-29,,,1.06625
1952-04-30,,,0.99875
1952-05-01,,,0.94625
1952-05-02,,,0.89625
1952-05-03,,,0.8025
1952-05-04,,,0.76375
1952-05-05,,,0.73375
1952-05-06,,,0.72125
1952-05-07,,,0.69375
1952-05-08,,,0.68125
1952-05-09,,,0.6625
1952-05-10,,,0.63375
1952-05-11,,,0.60375
1952-05-12,,,0.6
1952-05-13,,,0.5825
1952-05-14,,,0.57125
1952-05-15,,,0.5525
1952-05-16,,,0.55
1952-05-17,,,0.5325
1952-05-18,,,0.52125
1952-05-19,,,0.52
1952-05-20,,,0.52
1952-05-21,,,0.51125
1952-05-22,,,0.50125
1952-05-23,,,0.49125
1952-05-24,,,0.4725
1952-05-25,,,0.46125
1952-05-26,,,0.45125
1952-05-27,,,0.44125
1952-05-28,,,0.4225
1952-05-29,,,0.39375
1952-05-30,,,0.39
1952-05-31,,,0.38125
1952-06-01,,,0.38875
1952-06-02,,,0.39
1952-06-03,,,0.39
1952-06-04,,,0.39
1952-06-05,,,0.39
1952-06-06,,,0.39
1952-06-07,,,0.39
1952-06-08,,,0.39
1952-06-09,,,0.39
1952-06-10,,,0.39
1952-06-11,,,0.39
1952-06-12,,,0.39875
1952-06-13,,,0.4
1952-06-14,,,0.4
1952-06-15,,,0.4
1952-06-16,,,0.4
1952-06-17,,,0.39125
1952-06-18,,,0.39
1952-06-19,,,0.39
1952-06-20,,,0.39
1952-06-21,,,0.39
1952-06-22,,,0.39
1952-06-23,,,0.39
1952-06-24,,,0.38125
1952-06-25,,,0.38
1952-06-26,,,0.37125
1952-06-27,,,0.37
1952-06-28,,,0.36125
1952-06-29,,,0.36
1952-06-30,,,0.35125
1952-07-01,,,0.35
1952-07-02,,,0.35
1952-07-03,,,0.35
1952-07-04,,,0.35
1952-07-05,,,0.35
1952-07-06,,,0.34125
1952-07-07,,,0.34
1952-07-08,,,0.34
1952-07-09,,,0.34
1952-07-10,,,0.33125
1952-07-11,,,0.32125
1952-07-12,,,0.32
1952-07-13,,,0.31125
1952-07-14,,,0.31
1952-07-15,,,0.31
1952-07-16,,,0.31
1952-07-17,,,0.31
1952-07-18,,,0.31
1952-07-19,,,0.30125
1952-07-20,,,0.3
1952-07-21,,,0.3
1952-07-22,,,0.29125
1952-07-23,,,0.28125
1952-07-24,,,0.28
1952-07-25,,,0.28
1952-07-26,,,0.28
1952-07-27,,,0.28
1952-07-28,,,0.28
1952-07-29,,,0.27125
1952-07-30,,,0.27
1952-07-31,,,0.27
1952-08-01,,,0.27
1952-08-02,,,0.27
1952-08-03,,,0.27
1952-08-04,,,0.26125
1952-08-05,,,0.26
1952-08-06,,,0.26
1952-08-07,,,0.26
1952-08-08,,,0.26
1952-08-09,,,0.25125
1952-08-10,,,0.25
1952-08-11,,,0.25
1952-08-12,,,0.25
1952-08-13,,,0.25
1952-08-14,,,0.25
1952-08-15,,,0.25
1952-08-16,,,0.25
1952-08-17,,,0.25
1952-08-18,,,0.25
1952-08-19,,,0.25
1952-08-20,,,0.25
1952-08-21,,,0.24125
1952-08-22,,,0.24
1952-08-23,,,0.24
1952-08-24,,,0.24
1952-08-25,,,0.24
1952-08-26,,,0.24
1952-08-27,,,0.24
1952-08-28,,,0.23125
1952-08-29,,,0.23
1952-08-30,,,0.23
1952-08-31,,,0.23
1952-09-01,,,
1952-09-02,,,
1952-09-03,,,
1952-09-04,,,
1952-09-05,,,
1952-09-06,,,
1952-09-07,,,
1952-09-08,,,
1952-09-09,,,
1952-09-10,,,
1952-09-11,,,
1952-09-12,,,
1952-09-13,,,
1952-09-14,,,
1952-09-15,,,
1952-09-16,,,
1952-09-17,,,
1952-09-18,,,
1952-09-19,,,
1952-09-20,,,
1952-09-21,,,0.26
1952-09-22,,,0.2775
1952-09-23,,,0.28875
1952-09-24,,,0.28125
1952-09-25,,,0.315
1952-09-26,,,0.3725
1952-09-27,,,0.3975
1952-09-28,,,0.33875
1952-09-29,,,0.295
1952-09-30,,,0.29875
1952-10-01,,,0.2825
1952-10-02,,,0.27125
1952-10-03,,,0.24375
1952-10-04,,,0.23125
1952-10-05,,,0.22125
1952-10-06,,,0.22875
1952-10-07,,,0.23
1952-10-08,,,0.2125
1952-10-09,,,0.245
1952-10-10,,,0.22375
1952-10-11,,,0.22
1952-10-12,,,0.21125
1952-10-13,,,0.21875
1952-10-14,,,0.22
1952-10-15,,,0.22
1952-10-16,,,0.2375
1952-10-17,,,0.26625
1952-10-18,,,0.27875
1952-10-19,,,0.28875
1952-10-20,,,0.3075
1952-10-21,,,0.275
1952-10-22,,,0.235
1952-10-23,,,0.22125
1952-10-24,,,0.2025
1952-10-25,,,0.2
1952-10-26,,,0.20875
1952-10-27,,,0.30625
1952-10-28,,,0.285
1952-10-29,,,0.315
1952-10-30,,,0.3025
1952-10-31,,,0.265
1952-11-01,,,0.25125
1952-11-02,,,0.27625
1952-11-03,,,0.315
1952-11-04,,,0.32875
1952-11-05,,,0.3475
1952-11-06,,,0.35875
1952-11-07,,,0.36875
1952-11-08,,,0.37
1952-11-09,,,0.50125
1952-11-10,,,0.59
1952-11-11,,,0.6525
1952-11-12,,,0.7825
1952-11-13,,,0.94
1952-11-14,,,1.03875
1952-11-15,,,1.07625
1952-11-16,,,1.01875
1952-11-17,,,0.93125
1952-11-18,,,0.82375
1952-11-19,,,0.7225
1952-11-20,,,0.70125
1952-11-21,,,0.63875
1952-11-22,,,0.48125
1952-11-23,,,0.46875
1952-11-24,,,0.4525
1952-11-25,,,0.45
1952-11-26,,,0.4325
1952-11-27,,,0.395
1952-11-28,,,0.4425
1952-11-29,,,0.47625
1952-11-30,,,0.445
1952-12-01,,,0.4575
1952-12-02,,,0.495
1952-12-03,,,0.535
1952-12-04,,,0.89
1952-12-05,,,0.9575
1952-12-06,,,1.24875
1952-12-07,,,1.91125
1952-12-08,,,2.46375
1952-12-09,,,2.80125
1952-12-10,,,2.39375
1952-12-11,,,2.1725
1952-12-12,,,2.19375
1952-12-13,,,1.77125
1952-12-14,,,1.43875
1952-12-15,,,1.54
1952-12-16,,,2.085
1952-12-17,,,2.405
1952-12-18,,,1.6175
1952-12-19,,,1.255
1952-12-20,,,1.15
1952-12-21,,,1.11375
1952-12-22,,,1.22375
1952-12-23,,,1.905
1952-12-24,,,1.965
1952-12-25,,,1.5925
1952-12-26,,,1.5925
1952-12-27,,,1.88875
1952-12-28,,,1.615
1952-12-29,,,1.42125
1952-12-30,,,1.35625
1952-12-31,,,1.14
1953-01-01,,,0.7425
1953-01-02,,,0.62
1953-01-03,,,0.5925
1953-01-04,,,0.59
1953-01-05,,,0.58125
1953-01-06,,,0.58
1953-01-07,,,0.57125
1953-01-08,,,0.56125
1953-01-09,,,0.56
1953-01-10,,,0.56
1953-01-11,,,0.56
1953-01-12,,,0.55125
1953-01-13,,,0.55
1953-01-14,,,0.54125
1953-01-15,,,0.54
1953-01-16,,,0.54
1953-01-17,,,0.54
1953-01-18,,,0.53125
1953-01-19,,,0.53
1953-01-20,,,0.52125
1953-01-21,,,0.51125
1953-01-22,,,0.48375
1953-01-23,,,0.41875
1953-01-24,,,0.36625
1953-01-25,,,0.3075
1953-01-26,,,0.29125
1953-01-27,,,0.29875
1953-01-28,,,0.30875
1953-01-29,,,0.42375
1953-01-30,,,0.44
1953-01-31,,,0.43125
1953-02-01,,,0.43
1953-02-02,,,0.43875
1953-02-03,,,0.44
1953-02-04,,,0.44875
1953-02-05,,,0.44125
1953-02-06,,,0.44
1953-02-07,,,0.44
1953-02-08,,,0.43125
1953-02-09,,,0.43
1953-02-10,,,0.43
1953-02-11,,,0.43
1953-02-12,,,0.4475
1953-02-13,,,0.47625
1953-02-14,,,0.54125
1953-02-15,,,0.55875
1953-02-16,,,0.5775
1953-02-17,,,0.65
1953-02-18,,,0.8175
1953-02-19,,,1.5575
1953-02-20,,,1.79125
1953-02-21,,,1.76625
1953-02-22,,,1.57625
1953-02-23,,,1.3225
1953-02-24,,,1.22875
1953-02-25,,,1.185
1953-02-26,,,1.1625
1953-02-27,,,1.195
1953-02-28,,,1.2175
1953-03-01,,,1.22
1953-03-02,,,1.1675
1953-03-03,,,0.8625
1953-03-04,,,0.715
1953-03-05,,,0.67375
1953-03-06,,,0.66125
1953-03-07,,,0.66
1953-03-08,,,0.66
1953-03-09,,,0.66
1953-03-10,,,0.66
1953-03-11,,,0.65125
1953-03-12,,,0.65875
1953-03-13,,,0.66
1953-03-14,,,0.66
1953-03-15,,,0.73
1953-03-16,,,1.37
1953-03-17,,,1.55625
1953-03-18,,,1.5875
1953-03-19,,,1.5725
1953-03-20,,,1.56125
1953-03-21,,,1.44625
1953-03-22,,,1.1325
1953-03-23,,,1.055
1953-03-24,,,1.0325
1953-03-25,,,1.03
1953-03-26,,,1.0125
1953-03-27,,,1.01
1953-03-28,,,0.9925
1953-03-29,,,0.92
1953-03-30,,,0.91
1953-03-31,,,0.7875
1953-04-01,,,0.595
1953-04-02,,,0.56125
1953-04-03,,,0.55125
1953-04-04,,,0.52375
1953-04-05,,,0.51125
1953-04-06,,,0.50125
1953-04-07,,,0.4825
1953-04-08,,,0.48
1953-04-09,,,0.48875
1953-04-10,,,0.49875
1953-04-11,,,0.535
1953-04-12,,,0.9425
1953-04-13,,,1.0
1953-04-14,,,0.9475
1953-04-15,,,0.8
1953-04-16,,,0.535
1953-04-17,,,0.49125
1953-04-18,,,0.44625
1953-04-19,,,0.43125
1953-04-20,,,0.43
1953-04-21,,,0.43
1953-04-22,,,0.43875
1953-04-23,,,0.44
1953-04-24,,,0.4575
1953-04-25,,,0.50375
1953-04-26,,,0.51
1953-04-27,,,0.4575
1953-04-28,,,0.415
1953-04-29,,,0.3925
1953-04-30,,,0.34625
1953-05-01,,,0.33125
1953-05-02,,,0.33
1953-05-03,,,0.33
1953-05-04,,,0.33
1953-05-05,,,0.33
1953-05-06,,,0.33
1953-05-07,,,0.32125
1953-05-08,,,0.32
1953-05-09,,,0.32
