Date,Station_ID,Basin_role,Area_km2,Observed_mm_day,Simulated_mm_day,Observed_m3s,Simulated_m3s
1980-02-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.7854864,7.338172,12.530508
1980-02-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.78048646,7.338172,12.450747
1980-03-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.7920707,7.8167477,12.635544
1980-03-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.8015305,7.8167477,12.786452
1980-03-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.78286237,7.338172,12.488648
1980-03-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.75306475,7.0191193,12.0133
1980-03-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.74403685,7.8167477,11.869282
1980-03-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.74726695,7.8167477,11.920811
1980-03-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.75131977,8.135798,11.985463
1980-03-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.774062,8.135798,12.348259
1980-03-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.76330036,8.135798,12.176584
1980-03-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.74878055,8.135798,11.944956
1980-03-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.7210827,8.773902,11.503105
1980-03-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.6947401,8.135798,11.082873
1980-03-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.6840403,7.8167477,10.912185
1980-03-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.6790942,7.8167477,10.8332815
1980-03-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.6565316,7.338172,10.473351
1980-03-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.63978505,7.338172,10.206201
1980-03-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.6413395,7.8167477,10.230998
1980-03-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.63502365,7.0191193,10.130244
1980-03-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.62992775,7.8167477,10.048951
1980-03-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.60571665,7.338172,9.662723
1980-03-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.59620965,7.0191193,9.511062
1980-03-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.58605933,6.859594,9.349138
1980-03-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.5760998,6.5405436,9.190259
1980-03-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.39,0.58359396,6.221493,9.30981
1980-03-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.5844392,6.5405436,9.323294
1980-03-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.57993805,5.902442,9.251489
1980-03-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.57103235,6.5405436,9.10942
1980-03-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.5754553,6.5405436,9.179977
1980-03-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.5751045,6.859594,9.17438
1980-03-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.59451234,7.0191193,9.483986
1980-03-31,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.599348,7.8167477,9.561127
1980-04-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.5817611,7.8167477,9.280571
1980-04-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.6149805,8.135798,9.810505
1980-04-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.7147309,10.050104,11.401778
1980-04-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.788964,10.050104,12.585984
1980-04-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.7778265,10.369155,12.408313
1980-04-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.75981146,10.847732,12.120928
1980-04-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.73269504,10.847732,11.688352
1980-04-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.72933686,10.847732,11.63478
1980-04-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.70730793,10.369155,11.283362
1980-04-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.70127225,10.847732,11.1870775
1980-04-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.68439394,10.369155,10.917826
1980-04-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.663437,10.050104,10.583509
1980-04-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.6302006,9.571528,10.053305
1980-04-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.600457,9.252477,9.578818
1980-04-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.5917355,8.454849,9.439688
1980-04-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.5685329,7.8167477,9.069547
1980-04-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.5702239,7.0191193,9.096523
1980-04-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.5706541,6.859594,9.103386
1980-04-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.5885231,6.859594,9.388442
1980-04-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.61009496,7.0191193,9.732568
1980-04-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.6030589,7.0191193,9.620324
1980-04-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.5925234,7.0191193,9.452257
1980-04-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.5949556,6.859594,9.491057
1980-04-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.6262839,6.859594,9.990823
1980-04-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.77282125,7.8167477,12.328466
1980-04-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.8664509,10.847732,13.822098
1980-04-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.8000001,0.87980205,12.762038,14.035083
1980-04-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.86,0.9020653,13.71919,14.390238
1980-04-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.8000001,0.9056204,12.762038,14.446951
1980-04-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.89,0.8801008,14.197765,14.039848
1980-05-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.86,0.8254282,13.71919,13.167682
1980-05-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.73,0.80255705,11.645359,12.802829
1980-05-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.7589659,10.847732,12.107439
1980-05-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.7352131,10.050104,11.728521
1980-05-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.6515474,10.050104,10.39384
1980-05-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.62267023,9.252477,9.933176
1980-05-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.5675673,8.454849,9.054143
1980-05-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.5545875,7.0191193,8.847082
1980-05-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.5170419,6.5405436,8.248136
1980-05-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.39,0.45238674,6.221493,7.21672
1980-05-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.4287274,5.902442,6.8392935
1980-05-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.4178555,5.902442,6.665859
1980-05-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.41924846,5.902442,6.6880803
1980-05-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.35000002,0.42072248,5.5833917,6.711595
1980-05-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.34000003,0.40080225,5.4238663,6.3938165
1980-05-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.34000003,0.41232443,5.4238663,6.5776243
1980-05-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.4159416,5.1048155,6.6353273
1980-05-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.409891,4.94529,6.538805
1980-05-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.3998295,5.1048155,6.3782988
1980-05-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.39398587,4.94529,6.2850776
1980-05-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.38275552,5.1048155,6.105925
1980-05-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.28999996,0.37344956,4.626238,5.9574714
1980-05-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.27999997,0.37355328,4.4667125,5.959126
1980-05-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.27999997,0.3662541,4.4667125,5.842685
1980-05-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.3742243,4.94529,5.9698305
1980-05-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.34961367,5.1048155,5.577228
1980-05-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.34000003,0.35251594,5.4238663,5.6235266
1980-05-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.34289062,5.1048155,5.4699783
1980-05-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.33695734,4.94529,5.3753276
1980-05-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.34000003,0.36825347,5.4238663,5.8745804
1980-05-31,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.35000002,0.42536056,5.5833917,6.785584
1980-06-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.42474043,5.902442,6.7756915
1980-06-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.42013276,6.5405436,6.702187
1980-06-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.4205817,5.902442,6.709349
1980-06-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.44669676,6.5405436,7.125951
1980-06-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.42750227,6.859594,6.81975
1980-06-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.35000002,0.42867208,5.5833917,6.838411
1980-06-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.40160942,4.94529,6.406693
1980-06-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.27999997,0.37113273,4.4667125,5.920512
1980-06-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.25,0.37499034,3.9881365,5.982051
1980-06-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.25,0.36612558,3.9881365,5.8406353
1980-06-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.24000001,0.3543204,3.8286111,5.6523128
1980-06-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.20000005,0.36878026,3.19051,5.882984
1980-06-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.25,0.36690724,3.9881365,5.8531046
1980-06-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.26,0.34356058,4.1476617,5.480666
1980-06-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.27999997,0.34565866,4.4667125,5.514136
1980-06-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.28999996,0.37758458,4.626238,6.0234356
1980-06-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.26,0.35029864,4.1476617,5.5881553
1980-06-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.26,0.38556182,4.1476617,6.150693
1980-06-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.42086315,5.902442,6.713839
1980-06-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.472929,8.773902,7.5444217
1980-06-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.5365467,10.050104,8.559286
1980-06-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.5767691,10.369155,9.200936
1980-06-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.5555277,10.847732,8.862081
1980-06-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.73,0.5495776,11.645359,8.767162
1980-06-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.55736315,10.847732,8.891361
1980-06-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.56430495,9.571528,9.002101
1980-06-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.54545474,9.252477,8.701392
1980-06-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.5204264,8.135798,8.302126
1980-06-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.4997555,7.338172,7.9723725
1980-06-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.48804963,7.0191193,7.785634
1980-07-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.5339068,7.8167477,8.517173
1980-07-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.5738557,7.8167477,9.15446
1980-07-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.61573255,10.847732,9.822502
1980-07-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.6466087,10.050104,10.315055
1980-07-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.6679612,9.571528,10.655682
1980-07-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.67479247,9.252477,10.764658
1980-07-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.66369545,8.773902,10.587632
1980-07-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.63818914,8.454849,10.180741
1980-07-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.59152246,7.338172,9.436289
1980-07-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.5815823,7.8167477,9.277719
1980-07-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.57225233,8.135798,9.128881
1980-07-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.5787366,9.252477,9.232323
1980-07-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.573063,9.571528,9.141814
1980-07-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.59197646,8.773902,9.443532
1980-07-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.56920314,8.135798,9.080239
1980-07-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.545223,7.8167477,8.697695
1980-07-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.51867497,8.135798,8.274186
1980-07-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.48830748,6.5405436,7.7897477
1980-07-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.46407866,7.0191193,7.4032364
1980-07-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.4485134,7.338172,7.1549306
1980-07-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.44451916,7.8167477,7.0912123
1980-07-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.4445989,8.454849,7.0924845
1980-07-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.44747376,9.252477,7.1383457
1980-07-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.4127494,8.135798,6.584404
1980-07-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.4067508,7.8167477,6.488711
1980-07-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.39480698,7.338172,6.298177
1980-07-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.35474122,7.0191193,5.6590257
1980-07-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.3158108,6.859594,5.0379863
1980-07-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.39,0.31940663,6.221493,5.095349
1980-07-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.32228005,6.859594,5.141187
1980-07-31,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.42999995,0.33454812,6.859594,5.336894
1980-08-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.3568443,9.571528,5.6925755
1980-08-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.34640968,9.571528,5.5261164
1980-08-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.34753287,9.252477,5.544034
1980-08-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.34394026,8.773902,5.486723
1980-08-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.35726607,9.252477,5.6993036
1980-08-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.58,0.34643137,9.252477,5.5264626
1980-08-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.34625065,8.773902,5.5235796
1980-08-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.34458387,8.454849,5.49699
1980-08-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.31643486,7.338172,5.0479417
1980-08-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.30355513,7.0191193,4.8424773
1980-08-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.29578733,6.5405436,4.718561
1980-08-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.30618644,5.1048155,4.8844533
1980-08-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.32022262,8.454849,5.108366
1980-08-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.32030666,8.135798,5.109707
1980-08-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.30687356,8.454849,4.895415
1980-08-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.3042915,8.454849,4.854224
1980-08-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.2833985,8.135798,4.520928
1980-08-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.27412236,7.8167477,4.3729496
1980-08-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.27152848,7.0191193,4.3315706
1980-08-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.28748357,7.8167477,4.586095
1980-08-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.33913612,8.454849,5.4100847
1980-08-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.24,0.38806045,19.781157,6.190552
1980-08-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.07,0.38106585,17.069225,6.0789704
1980-08-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.0,0.38444853,15.952546,6.1329327
1980-08-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.93,0.37054098,14.835868,5.9110723
1980-08-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.93,0.39557076,14.835868,6.310361
1980-08-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.83,0.39638543,13.240613,6.323357
1980-08-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.8000001,0.36935973,12.762038,5.892228
1980-08-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.73,0.36485195,11.645359,5.8203177
1980-08-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.71,0.35491288,11.326307,5.661764
1980-08-31,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.35496545,10.847732,5.662603
1980-09-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.37123954,9.571528,5.922216
1980-09-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.37977946,8.773902,6.0584493
1980-09-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.35931575,8.135798,5.7320013
1980-09-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.34237528,7.338172,5.461757
1980-09-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.43999994,0.33455372,7.0191193,5.3369837
1980-09-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.39,0.34431958,6.221493,5.492774
1980-09-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.37,0.36680353,5.902442,5.85145
1980-09-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.34000003,0.36297858,5.4238663,5.7904325
1980-09-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.3489803,4.94529,5.5671244
1980-09-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.35232687,4.94529,5.6205106
1980-09-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.31000006,0.36078286,4.94529,5.7554054
